2025-10-28 10:45:54,523 | INFO | Starting the application...
2025-10-28 10:46:14,177 | INFO | Starting the application...
2025-10-28 11:21:36,429 | INFO | Starting the application...
2025-10-28 11:22:47,725 | INFO | Starting the application...
2025-10-28 11:23:54,595 | INFO | Starting the application...
2025-10-28 11:41:20,781 | INFO | Starting the application...
2025-10-28 11:41:22,773 | INFO | Starting the application...
2025-10-28 11:57:09,326 | INFO | Starting the application...
2025-10-28 12:06:56,324 | INFO | Starting the application...
2025-10-28 12:14:14,349 | INFO | Starting the application...
2025-10-28 12:17:59,272 | INFO | Starting the application...
2025-10-28 12:17:59,932 | INFO | Starting the application...
2025-10-28 13:23:26,513 | INFO | Starting the application...
2025-10-28 13:23:45,409 | INFO | Starting the application...
2025-10-28 13:38:45,516 | INFO | Starting the application...
2025-10-28 13:41:56,898 | INFO | Starting the application...
2025-10-28 15:06:57,431 | INFO | Starting the application...
2025-10-28 15:07:21,458 | INFO | Starting the application...
2025-10-28 15:07:25,980 | INFO | Starting the application...
2025-10-28 15:07:52,734 | INFO | Starting the application...
2025-10-28 15:13:23,519 | INFO | Starting the application...
